attackName(TM/HM),pokemonName
Dragon Tail,Charizard
Swagger,Charizard
Sleep Talk,Charizard
Substitute,Charizard
Rock SmashXY,Charizard
Secret PowerORAS,Charizard
Power-Up Punch,Charizard
Confide,Charizard
Cut,Charizard
Fly,Charizard
Strength,Charizard
Rock SmashORAS,Charizard
Toxic,Squirtle
Hail,Squirtle
Hidden Power,Squirtle
Ice Beam,Squirtle
Blizzard,Squirtle
Protect,Squirtle
Rain Dance,Squirtle
Frustration,Squirtle
Return,Squirtle
Dig,Squirtle
Brick Break,Squirtle
Double Team,Squirtle
Rock Tomb,Squirtle
Facade,Squirtle
Rest,Squirtle
Attract,Squirtle
Round,Squirtle
Scald,Squirtle
Fling,Squirtle
Gyro Ball,Squirtle
Swagger,Squirtle
Sleep Talk,Squirtle
Substitute,Squirtle
Rock SmashXY,Squirtle
Secret PowerORAS,Squirtle
Power-Up Punch,Squirtle
Confide,Squirtle
Surf,Squirtle
Strength,Squirtle
Waterfall,Squirtle
Rock SmashORAS,Squirtle
DiveORAS,Squirtle
Toxic,Wartortle?
Hail,Wartortle?
Hidden Power,Wartortle?
Ice Beam,Wartortle?
Blizzard,Wartortle?
Protect,Wartortle?
Rain Dance,Wartortle?
Frustration,Wartortle?
Return,Wartortle?
Dig,Wartortle?
Brick Break,Wartortle?
Double Team,Wartortle?
Rock Tomb,Wartortle?
Facade,Wartortle?
Rest,Wartortle?
Attract,Wartortle?
Round,Wartortle?
Scald,Wartortle?
Fling,Wartortle?
Gyro Ball,Wartortle?
Swagger,Wartortle?
Sleep Talk,Wartortle?
Substitute,Wartortle?
Rock SmashXY,Wartortle?
Secret PowerORAS,Wartortle?
Power-Up Punch,Wartortle?
Confide,Wartortle?
Surf,Wartortle?
Strength,Wartortle?
Waterfall,Wartortle?
Rock SmashORAS,Wartortle?
DiveORAS,Wartortle?
Roar,Blastoise
Toxic,Blastoise
Hail,Blastoise
Hidden Power,Blastoise
Ice Beam,Blastoise
Blizzard,Blastoise
Hyper Beam,Blastoise
Protect,Blastoise
Rain Dance,Blastoise
Frustration,Blastoise
Smack Down,Blastoise
Earthquake,Blastoise
Return,Blastoise
Dig,Blastoise
Brick Break,Blastoise
Double Team,Blastoise
Rock Tomb,Blastoise
Facade,Blastoise
Rest,Blastoise
Attract,Blastoise
Round,Blastoise
Focus Blast,Blastoise
Scald,Blastoise
Fling,Blastoise
Giga Impact,Blastoise
Gyro Ball,Blastoise
Bulldoze,Blastoise
Rock Slide,Blastoise
Dragon Tail,Blastoise
Swagger,Blastoise
Sleep Talk,Blastoise
Substitute,Blastoise
Flash Cannon,Blastoise
Rock SmashXY,Blastoise
Secret PowerORAS,Blastoise
Dark Pulse,Blastoise
Power-Up Punch,Blastoise
Confide,Blastoise
Surf,Blastoise
Strength,Blastoise
Waterfall,Blastoise
Rock SmashORAS,Blastoise
DiveORAS,Blastoise
Toxic,Caterpie
Venoshock,Caterpie
Hidden Power,Caterpie
Sunny Day,Metapod
Hyper Beam,Metapod
Protect,Butterfree
Rain Dance,Butterfree
Roost,Butterfree
Safeguard,Butterfree
Frustration,Butterfree
Solar Beam,Butterfree
Return,Butterfree
Psychic,Butterfree
Shadow Ball,Butterfree
Double Team,Butterfree
Aerial Ace,Butterfree
Facade,Butterfree
Rest,Butterfree
Attract,Butterfree
Thief,Butterfree
Round,Butterfree
Energy Ball,Butterfree
Acrobatics,Butterfree
Giga Impact,Butterfree
Flash,Butterfree
Struggle Bug,Butterfree
Psych Up,Butterfree
Infestation,Butterfree
Dream Eater,Butterfree
Swagger,Butterfree
Sleep Talk,Butterfree
U-turn,Butterfree
Substitute,Butterfree
Secret PowerORAS,Butterfree
Confide,Butterfree
,Weedle
,Weedle
,Weedle
,Kakuna
,Kakuna
Toxic,Beedrill
Venoshock,Beedrill
Hidden Power,Beedrill
Sunny Day,Beedrill
Hyper Beam,Beedrill
Protect,Beedrill
Roost,Beedrill
Frustration,Beedrill
Solar Beam,Beedrill
Return,Beedrill
Brick Break,Beedrill
Double Team,Beedrill
Sludge Bomb,Beedrill
Aerial Ace,Beedrill
Facade,Beedrill
Rest,Beedrill
Attract,Beedrill
Thief,Beedrill
Round,Beedrill
False Swipe,Beedrill
Acrobatics,Beedrill
Payback,Beedrill
Giga Impact,Beedrill
Flash,Beedrill
Swords Dance,Beedrill
Struggle Bug,Beedrill
X-Scissor,Beedrill
Infestation,Beedrill
Poison Jab,Beedrill
Swagger,Beedrill
Sleep Talk,Beedrill
U-turn,Beedrill
Substitute,Beedrill
Rock SmashXY,Beedrill
Secret PowerORAS,Beedrill
Confide,Beedrill
Cut,Beedrill
Rock SmashORAS,Beedrill
Toxic,Pidgey
Hidden Power,Pidgey
Sunny Day,Pidgey
Protect,Pidgey
Rain Dance,Pidgey
Roost,Pidgey
Frustration,Pidgey
Return,Pidgey
Double Team,Pidgey
Aerial Ace,Pidgey
Facade,Pidgey
Rest,Pidgey
Attract,Pidgey
Thief,Pidgey
Round,Pidgey
Steel Wing,Pidgey
Swagger,Pidgey
Sleep Talk,Pidgey
U-turn,Pidgey
Substitute,Pidgey
Secret PowerORAS,Pidgey
Confide,Pidgey
Fly,Pidgey
Toxic,Pidgeotto
Hidden Power,Pidgeotto
Sunny Day,Pidgeotto
Protect,Pidgeotto
Rain Dance,Pidgeotto
Roost,Pidgeotto
Frustration,Pidgeotto
Return,Pidgeotto
Double Team,Pidgeotto
Aerial Ace,Pidgeotto
Facade,Pidgeotto
Rest,Pidgeotto
Attract,Pidgeotto
Thief,Pidgeotto
Round,Pidgeotto
Steel Wing,Pidgeotto
Swagger,Pidgeotto
Sleep Talk,Pidgeotto
U-turn,Pidgeotto
Substitute,Pidgeotto
Secret PowerORAS,Pidgeotto
Confide,Pidgeotto
Fly,Pidgeotto
Toxic,Pidgeot
Hidden Power,Pidgeot
Sunny Day,Pidgeot
Hyper Beam,Pidgeot
Protect,Pidgeot
Rain Dance,Pidgeot
Roost,Pidgeot
Frustration,Pidgeot
Return,Pidgeot
Double Team,Pidgeot
Aerial Ace,Pidgeot
Facade,Pidgeot
Rest,Pidgeot
Attract,Pidgeot
Thief,Pidgeot
Round,Pidgeot
Steel Wing,Pidgeot
Giga Impact,Pidgeot
Swagger,Pidgeot
Sleep Talk,Pidgeot
U-turn,Pidgeot
Substitute,Pidgeot
Secret PowerORAS,Pidgeot
Confide,Pidgeot
Fly,Pidgeot
Toxic,Rattata
Hidden Power,Rattata
Sunny Day,Rattata
Taunt,Rattata
Ice Beam,Rattata
Blizzard,Rattata
Protect,Rattata
Rain Dance,Rattata
Frustration,Rattata
Thunderbolt,Rattata
Thunder,Rattata
Return,Rattata
Dig,Rattata
Shadow Ball,Rattata
Double Team,Rattata
Facade,Rattata
Rest,Rattata
Attract,Rattata
Thief,Rattata
Round,Rattata
Charge Beam,Rattata
Thunder Wave,Rattata
Grass Knot,Rattata
Swagger,Rattata
Sleep Talk,Rattata
U-turn,Rattata
Substitute,Rattata
Rock SmashXY,Rattata
Secret PowerORAS,Rattata
Confide,Rattata
Cut,Rattata
Rock SmashORAS,Rattata
Roar,Raticate
Toxic,Raticate
Hidden Power,Raticate
Sunny Day,Raticate
Taunt,Raticate
Ice Beam,Raticate
Blizzard,Raticate
Hyper Beam,Raticate
Protect,Raticate
Rain Dance,Raticate
Frustration,Raticate
Thunderbolt,Raticate
Thunder,Raticate
Return,Raticate
Dig,Raticate
Shadow Ball,Raticate
Double Team,Raticate
Facade,Raticate
Rest,Raticate
Attract,Raticate
Thief,Raticate
Round,Raticate
Charge Beam,Raticate
Retaliate,Raticate
Giga Impact,Raticate
Thunder Wave,Raticate
Swords Dance,Raticate
Grass Knot,Raticate
Swagger,Raticate
Sleep Talk,Raticate
U-turn,Raticate
Substitute,Raticate
Wild Charge,Raticate
Rock SmashXY,Raticate
Secret PowerORAS,Raticate
Confide,Raticate
Cut,Raticate
Strength,Raticate
Rock SmashORAS,Raticate
Toxic,Spearow
Hidden Power,Spearow
Sunny Day,Spearow
Protect,Spearow
Rain Dance,Spearow
Roost,Spearow
Frustration,Spearow
Return,Spearow
Double Team,Spearow
Aerial Ace,Spearow
Facade,Spearow
Rest,Spearow
Attract,Spearow
Thief,Spearow
Round,Spearow
Echoed Voice,Spearow
Steel Wing,Spearow
False Swipe,Spearow
Swagger,Spearow
Sleep Talk,Spearow
U-turn,Spearow
Substitute,Spearow
Secret PowerORAS,Spearow
Confide,Spearow
Fly,Spearow
Toxic,Fearow
Hidden Power,Fearow
Sunny Day,Fearow
Hyper Beam,Fearow
Protect,Fearow
Rain Dance,Fearow
Roost,Fearow
Frustration,Fearow
Return,Fearow
Double Team,Fearow
Aerial Ace,Fearow
Facade,Fearow
Rest,Fearow
Attract,Fearow
Thief,Fearow
Round,Fearow
Echoed Voice,Fearow
Steel Wing,Fearow
False Swipe,Fearow
Giga Impact,Fearow
Swagger,Fearow
Sleep Talk,Fearow
U-turn,Fearow
Substitute,Fearow
Secret PowerORAS,Fearow
Confide,Fearow
Fly,Fearow
Toxic,Ekans
Sunny Day,Ekans
Protect,Ekans
Double Team,Ekans
Torment,Ekans
Rest,Ekans
Attract,Ekans
Swagger,Ekans
Sleep Talk,Ekans
Substitute,Ekans
Confide,Ekans
Venoshock,Ekans
Hidden Power,Ekans
Sludge Wave,Ekans
Sludge Bomb,Ekans
Round,Ekans
Infestation,Ekans
Dark Pulse,Ekans
Frustration,Ekans
Earthquake,Ekans
Return,Ekans
Dig,Ekans
Rock Tomb,Ekans
Facade,Ekans
Thief,Ekans
Payback,Ekans
Bulldoze,Ekans
Rock Slide,Ekans
Poison Jab,Ekans
Secret PowerORAS,Ekans
Strength,Ekans
Toxic,Arbok
Venoshock,Arbok
Hidden Power,Arbok
Sunny Day,Arbok
Hyper Beam,Arbok
Protect,Arbok
Frustration,Arbok
Earthquake,Arbok
Return,Arbok
Dig,Arbok
Double Team,Arbok
Sludge Wave,Arbok
Sludge Bomb,Arbok
Rock Tomb,Arbok
Torment,Arbok
Facade,Arbok
Rest,Arbok
Attract,Arbok
Thief,Arbok
Round,Arbok
Payback,Arbok
Giga Impact,Arbok
Bulldoze,Arbok
Rock Slide,Arbok
Dragon Tail,Arbok
Infestation,Arbok
Poison Jab,Arbok
Swagger,Arbok
Sleep Talk,Arbok
Substitute,Arbok
Secret PowerORAS,Arbok
Dark Pulse,Arbok
Confide,Arbok
Strength,Arbok
Toxic,Pikachu
Hidden Power,Pikachu
Light Screen,Pikachu
Protect,Pikachu
Rain Dance,Pikachu
Frustration,Pikachu
Thunderbolt,Pikachu
Thunder,Pikachu
Return,Pikachu
Dig,Pikachu
Brick Break,Pikachu
Double Team,Pikachu
Facade,Pikachu
Rest,Pikachu
Attract,Pikachu
Round,Pikachu
Echoed Voice,Pikachu
Fling,Pikachu
Charge Beam,Pikachu
Flash,Pikachu
Volt Switch,Pikachu
Thunder Wave,Pikachu
Grass Knot,Pikachu
Swagger,Pikachu
Sleep Talk,Pikachu
Substitute,Pikachu
Wild Charge,Pikachu
Rock SmashXY,Pikachu
Secret PowerORAS,Pikachu
Confide,Pikachu
Strength,Pikachu
Rock SmashORAS,Pikachu
Toxic,Raichu
Hidden Power,Raichu
Hyper Beam,Raichu
Light Screen,Raichu
Protect,Raichu
Rain Dance,Raichu
Frustration,Raichu
Thunderbolt,Raichu
Thunder,Raichu
Return,Raichu
Dig,Raichu
Brick Break,Raichu
Double Team,Raichu
Facade,Raichu
Rest,Raichu
Attract,Raichu
Thief,Raichu
Round,Raichu
Echoed Voice,Raichu
Focus Blast,Raichu
Fling,Raichu
Charge Beam,Raichu
Giga Impact,Raichu
Flash,Raichu
Volt Switch,Raichu
Thunder Wave,Raichu
Grass Knot,Raichu
Swagger,Raichu
Sleep Talk,Raichu
Substitute,Raichu
Wild Charge,Raichu
Rock SmashXY,Raichu
Secret PowerORAS,Raichu
Confide,Raichu
Strength,Raichu
Rock SmashORAS,Raichu
Hone Claws,Sandshrew
Toxic,Sandshrew
Hidden Power,Sandshrew
Sunny Day,Sandshrew
Protect,Sandshrew
Safeguard,Sandshrew
Frustration,Sandshrew
Earthquake,Sandshrew
Return,Sandshrew
Dig,Sandshrew
Brick Break,Sandshrew
Double Team,Sandshrew
Sandstorm,Sandshrew
Rock Tomb,Sandshrew
Aerial Ace,Sandshrew
Facade,Sandshrew
Rest,Sandshrew
Attract,Sandshrew
Thief,Sandshrew
Round,Sandshrew
Fling,Sandshrew
Shadow Claw,Sandshrew
Gyro Ball,Sandshrew
Swords Dance,Sandshrew
Bulldoze,Sandshrew
Rock Slide,Sandshrew
X-Scissor,Sandshrew
Poison Jab,Sandshrew
Swagger,Sandshrew
Sleep Talk,Sandshrew
Substitute,Sandshrew
Rock SmashXY,Sandshrew
Secret PowerORAS,Sandshrew
Confide,Sandshrew
Cut,Sandshrew
Strength,Sandshrew
Rock SmashORAS,Sandshrew
Hone Claws,Sandslash
Toxic,Sandslash
Hidden Power,Sandslash
Sunny Day,Sandslash
Hyper Beam,Sandslash
Protect,Sandslash
Safeguard,Sandslash
Frustration,Sandslash
Earthquake,Sandslash
Return,Sandslash
Dig,Sandslash
Brick Break,Sandslash
Double Team,Sandslash
Sandstorm,Sandslash
Rock Tomb,Sandslash
Aerial Ace,Sandslash
Facade,Sandslash
Rest,Sandslash
Attract,Sandslash
Thief,Sandslash
Round,Sandslash
Focus Blast,Sandslash
Fling,Sandslash
Shadow Claw,Sandslash
Giga Impact,Sandslash
Stone Edge,Sandslash
Gyro Ball,Sandslash
Swords Dance,Sandslash
Bulldoze,Sandslash
Rock Slide,Sandslash
X-Scissor,Sandslash
Poison Jab,Sandslash
Swagger,Sandslash
Sleep Talk,Sandslash
Substitute,Sandslash
Rock SmashXY,Sandslash
Secret PowerORAS,Sandslash
Confide,Sandslash
Cut,Sandslash
Strength,Sandslash
Rock SmashORAS,Sandslash
Hone Claws,Nidoran
Toxic,Nidoran
Venoshock,Nidoran
Hidden Power,Nidoran
Sunny Day,Nidoran
Ice Beam,Nidoran
Blizzard,Nidoran
Protect,Nidoran
Rain Dance,Nidoran
Frustration,Nidoran
Thunderbolt,Nidoran
Thunder,Nidoran
Return,Nidoran
Dig,Nidoran
Double Team,Nidoran
Sludge Bomb,Nidoran
Aerial Ace,Nidoran
Facade,Nidoran
Rest,Nidoran
Attract,Nidoran
Thief,Nidoran
Round,Nidoran
Echoed Voice,Nidoran
Shadow Claw,Nidoran
Poison Jab,Nidoran
Swagger,Nidoran
Sleep Talk,Nidoran
Substitute,Nidoran
Rock SmashXY,Nidoran
Secret PowerORAS,Nidoran
Confide,Nidoran
Cut,Nidoran
Strength,Nidoran
Rock SmashORAS,Nidoran
Hone Claws,Nidorina
Toxic,Nidorina
Venoshock,Nidorina
Hidden Power,Nidorina
Sunny Day,Nidorina
Ice Beam,Nidorina
Blizzard,Nidorina
Protect,Nidorina
Rain Dance,Nidorina
Frustration,Nidorina
Thunderbolt,Nidorina
Thunder,Nidorina
Return,Nidorina
Dig,Nidorina
Double Team,Nidorina
Sludge Bomb,Nidorina
Aerial Ace,Nidorina
Facade,Nidorina
Rest,Nidorina
Attract,Nidorina
Thief,Nidorina
Round,Nidorina
Echoed Voice,Nidorina
Shadow Claw,Nidorina
Poison Jab,Nidorina
Swagger,Nidorina
Sleep Talk,Nidorina
Substitute,Nidorina
Rock SmashXY,Nidorina
Secret PowerORAS,Nidorina
Confide,Nidorina
Cut,Nidorina
Strength,Nidorina
Rock SmashORAS,Nidorina
Hone Claws,Nidoqueen
Roar,Nidoqueen
Toxic,Nidoqueen
Venoshock,Nidoqueen
Hidden Power,Nidoqueen
Sunny Day,Nidoqueen
Taunt,Nidoqueen
Ice Beam,Nidoqueen
Blizzard,Nidoqueen
Hyper Beam,Nidoqueen
Protect,Nidoqueen
Rain Dance,Nidoqueen
Frustration,Nidoqueen
Smack Down,Nidoqueen
Thunderbolt,Nidoqueen
Thunder,Nidoqueen
Earthquake,Nidoqueen
Return,Nidoqueen
Dig,Nidoqueen
Shadow Ball,Nidoqueen
Brick Break,Nidoqueen
Double Team,Nidoqueen
Sludge Wave,Nidoqueen
Flamethrower,Nidoqueen
Sludge Bomb,Nidoqueen
Sandstorm,Nidoqueen
Fire Blast,Nidoqueen
Rock Tomb,Nidoqueen
Aerial Ace,Nidoqueen
Torment,Nidoqueen
Facade,Nidoqueen
Rest,Nidoqueen
Attract,Nidoqueen
Thief,Nidoqueen
Round,Nidoqueen
Echoed Voice,Nidoqueen
Focus Blast,Nidoqueen
Fling,Nidoqueen
Incinerate,Nidoqueen
Quash,Nidoqueen
Shadow Claw,Nidoqueen
Giga Impact,Nidoqueen
Stone Edge,Nidoqueen
Bulldoze,Nidoqueen
Rock Slide,Nidoqueen
Dragon Tail,Nidoqueen
Poison Jab,Nidoqueen
Swagger,Nidoqueen
Sleep Talk,Nidoqueen
Substitute,Nidoqueen
Rock SmashXY,Nidoqueen
Secret PowerORAS,Nidoqueen
Power-Up Punch,Nidoqueen
Confide,Nidoqueen
Cut,Nidoqueen
Surf,Nidoqueen
Strength,Nidoqueen
Rock SmashORAS,Nidoqueen
Hone Claws,Nidoran
Toxic,Nidoran
Venoshock,Nidoran
Hidden Power,Nidoran
Sunny Day,Nidoran
Ice Beam,Nidoran
Blizzard,Nidoran
Protect,Nidoran
Rain Dance,Nidoran
Frustration,Nidoran
Thunderbolt,Nidoran
Thunder,Nidoran
Return,Nidoran
Dig,Nidoran
Double Team,Nidoran
Sludge Bomb,Nidoran
Facade,Nidoran
Rest,Nidoran
Attract,Nidoran
Thief,Nidoran
Round,Nidoran
Echoed Voice,Nidoran
Shadow Claw,Nidoran
Poison Jab,Nidoran
Swagger,Nidoran
Sleep Talk,Nidoran
Substitute,Nidoran
Rock SmashXY,Nidoran
Secret PowerORAS,Nidoran
Confide,Nidoran
Cut,Nidoran
Strength,Nidoran
Rock SmashORAS,Nidoran
Hone Claws,Nidorino
Toxic,Nidorino
Venoshock,Nidorino
Hidden Power,Nidorino
Sunny Day,Nidorino
Ice Beam,Nidorino
Blizzard,Nidorino
Protect,Nidorino
Rain Dance,Nidorino
Frustration,Nidorino
Thunderbolt,Nidorino
Thunder,Nidorino
Return,Nidorino
Dig,Nidorino
Double Team,Nidorino
Sludge Bomb,Nidorino
Facade,Nidorino
Rest,Nidorino
Attract,Nidorino
Thief,Nidorino
Round,Nidorino
Echoed Voice,Nidorino
Shadow Claw,Nidorino
Poison Jab,Nidorino
Swagger,Nidorino
Sleep Talk,Nidorino
Substitute,Nidorino
Rock SmashXY,Nidorino
Secret PowerORAS,Nidorino
Confide,Nidorino
Cut,Nidorino
Strength,Nidorino
Rock SmashORAS,Nidorino
Hone Claws,Nidoking
Roar,Nidoking
Toxic,Nidoking
Venoshock,Nidoking
Hidden Power,Nidoking
Sunny Day,Nidoking
Taunt,Nidoking
Ice Beam,Nidoking
Blizzard,Nidoking
Hyper Beam,Nidoking
Protect,Nidoking
Rain Dance,Nidoking
Frustration,Nidoking
Smack Down,Nidoking
Thunderbolt,Nidoking
Thunder,Nidoking
Earthquake,Nidoking
Return,Nidoking
Dig,Nidoking
Shadow Ball,Nidoking
Brick Break,Nidoking
Double Team,Nidoking
Sludge Wave,Nidoking
Flamethrower,Nidoking
Sludge Bomb,Nidoking
Sandstorm,Nidoking
Fire Blast,Nidoking
Rock Tomb,Nidoking
Torment,Nidoking
Facade,Nidoking
Rest,Nidoking
Attract,Nidoking
Thief,Nidoking
Round,Nidoking
Echoed Voice,Nidoking
Focus Blast,Nidoking
Fling,Nidoking
Incinerate,Nidoking
Quash,Nidoking
Shadow Claw,Nidoking
Giga Impact,Nidoking
Stone Edge,Nidoking
Bulldoze,Nidoking
Rock Slide,Nidoking
Dragon Tail,Nidoking
Poison Jab,Nidoking
Swagger,Nidoking
Sleep Talk,Nidoking
Substitute,Nidoking
Rock SmashXY,Nidoking
Secret PowerORAS,Nidoking
Power-Up Punch,Nidoking
Confide,Nidoking
Cut,Nidoking
Surf,Nidoking
Strength,Nidoking
Rock SmashORAS,Nidoking
Psyshock,Clefairy
Calm Mind,Clefairy
Toxic,Clefairy
Hidden Power,Clefairy
Sunny Day,Clefairy
Ice Beam,Clefairy
Blizzard,Clefairy
Light Screen,Clefairy
Protect,Clefairy
Rain Dance,Clefairy
Safeguard,Clefairy
Frustration,Clefairy
Solar Beam,Clefairy
Thunderbolt,Clefairy
Thunder,Clefairy
Return,Clefairy
Dig,Clefairy
Psychic,Clefairy
Shadow Ball,Clefairy
Brick Break,Clefairy
Double Team,Clefairy
Reflect,Clefairy
Flamethrower,Clefairy
Fire Blast,Clefairy
Facade,Clefairy
Rest,Clefairy
Attract,Clefairy
Round,Clefairy
Echoed Voice,Clefairy
Fling,Clefairy
Charge Beam,Clefairy
Incinerate,Clefairy
Retaliate,Clefairy
Flash,Clefairy
Thunder Wave,Clefairy
Psych Up,Clefairy
Dream Eater,Clefairy
Grass Knot,Clefairy
Swagger,Clefairy
Sleep Talk,Clefairy
Substitute,Clefairy
Rock SmashXY,Clefairy
Secret PowerORAS,Clefairy
Power-Up Punch,Clefairy
Dazzling Gleam,Clefairy
Confide,Clefairy
Strength,Clefairy
Rock SmashORAS,Clefairy
Psyshock,Clefable
Calm Mind,Clefable
Toxic,Clefable
Hidden Power,Clefable
Sunny Day,Clefable
Ice Beam,Clefable
Blizzard,Clefable
Hyper Beam,Clefable
Light Screen,Clefable
Protect,Clefable
Rain Dance,Clefable
Safeguard,Clefable
Frustration,Clefable
Solar Beam,Clefable
Thunderbolt,Clefable
Thunder,Clefable
Return,Clefable
Dig,Clefable
Psychic,Clefable
Shadow Ball,Clefable
Brick Break,Clefable
Double Team,Clefable
Reflect,Clefable
Flamethrower,Clefable
Fire Blast,Clefable
Facade,Clefable
Rest,Clefable
Attract,Clefable
Round,Clefable
Echoed Voice,Clefable
Focus Blast,Clefable
Fling,Clefable
Charge Beam,Clefable
Incinerate,Clefable
Retaliate,Clefable
Giga Impact,Clefable
Flash,Clefable
Thunder Wave,Clefable
Psych Up,Clefable
Dream Eater,Clefable
Grass Knot,Clefable
Swagger,Clefable
Sleep Talk,Clefable
Substitute,Clefable
Rock SmashXY,Clefable
Secret PowerORAS,Clefable
Power-Up Punch,Clefable
Dazzling Gleam,Clefable
Confide,Clefable
Strength,Clefable
Rock SmashORAS,Clefable
